"AGE";"EDUC";"EMPSTA";"FREQ";"MUN_DENSITY_LEVEL";"PCS_ESE";"QUANTILE_NIVVIE";"SEX";"TICM_MEASURE";"OBS_STATUS";"TIME_PERIOD";"OBS_VALUE"
"_T";"4T8";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_TAB";"L";2021;
"_T";"0T1";"_T";"A";"_T";"_T";"_T";"_T";"HAUT_DEBIT";"A";2022;64.5
"Y15T44";"2_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_SMARTPHONE";"L";2022;
"_T";"_T";"1";"A";"_T";"4";"_T";"_T";"EQUIP_SMARTPHONE";"L";2021;
"Y15T44";"3_X_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_TAB";"L";2021;
"Y_GE75";"_T";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_TAB";"L";2022;
"_T";"4T8";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_X_OUTILS_NUM";"L";2022;
"_T";"2_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_ORDI";"L";2022;
"_T";"_T";"1";"A";"_T";"6";"_T";"_T";"EQUIP_INT";"A";2022;95.5
"Y45T59";"0T1";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_ORDI";"L";2022;
"_T";"_T";"1";"A";"_T";"6";"_T";"_T";"EQUIP_X_OUTILS_NUM";"L";2016;
"Y45T59";"3_X_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_X_OUTILS_NUM";"L";2016;
"Y_GE60";"_T";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_LISEUSE";"L";2017;
"Y_GE60";"_T";"_T";"A";"_T";"_T";"_T";"F";"HAUT_DEBIT";"A";2017;56.7
"Y_GE60";"3_X_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_LISEUSE";"L";2017;
"_T";"_T";"1";"A";"_T";"4";"_T";"_T";"EQUIP_X_OUTILS_NUM";"L";2016;
"Y_GE60";"_T";"_T";"A";"_T";"_T";"_T";"F";"EQUIP_SMARTPHONE";"L";2017;
"_T";"_T";"1";"A";"_T";"3";"_T";"_T";"EQUIP_LISEUSE";"L";2018;
